Code,Country,Region,Subregion,Producer,Color,Wine,Alcohol_by_volume,Acidity,Residual_Sugar,Dosage,Years_in_Blend,Bottling_Date,Disgorgement_Date,Closure,Annual_cases_produced,Varieties,Maceration_Notes,Pumpover_Punchdown,Destemming ,Fermentation_vessel,Fermentation_duration,Aging_method,Aging_duration_months,Filtered,Fining_Agents,Yeast,Lees_Contact_Stirring,Malolactic,Added_Sulfur,Vineyard_Name,Soil_Type,Elevation_meters,Vineyard_Aspect,Vine_Age_years,Vine_Yields_hl_ha,Farming_practices,Vine_Training_Notes,Grape_Picking,Notes
FRA-VSE15,France,Loire,,Raimbault,,2015 Vouvray Sec 'Bel Air',13,5,7.7,,,,,Natural Cork,1580,100% Chenin Blanc,,,Complete,Stainless Steel,6 weeks,Stainless Steel 100%,6,Yes,Bentonite,Native,,No,"Yes, 104 mg/L",,Calcareous,100,Southwest,25,52,Conventional,,Machine,"Vin de bonne maturité aux senteurs de fleurs blanches avec des
notes vanillées. Frais et ample aux arômes fruités de pêches,
d'abricots et de miel.
Médaille d'Or au concours de Mâcon (2017) + 1 étoile Guide Hachette (2018)"
FEB-GEM16,France,Alsace,,Boeckel,,"2016 Gewurztraminer ""Midelberg"" (organic)",13.28,3.78,15.8,,,,,Screw-top,500,100% Gewurztraminer,,No,Whole Cluster,Stainless Steel,4 weeks,Cask 100%,6,Yes,None,Spontaneous,,No,Yes,,Calcareous,200,Southeast,30,60,Certified Organic,,Hand-harvested,
FEB-PNM16,France,Alsace,,Boeckel,,2016 Pinot Noir Midelberg (Organic),12.41,5.91,0,,,,,Screw-top,400,100% Pinot Noir,,Both,Complete,Stainless Steel,2 weeks,Cask 100%,6,Yes,None,Spontaneous,,Yes,Yes,,Calcareous,200,Southeast,35,50,Certified Organic,,Hand-harvested,
FEB-RCL12,France,Alsace,,Boeckel,,"2012 Riesling Stein, ""Clos Eugenie""",13.16,6.12,4.4,,,,,Natural Cork,150,100% Riesling,,No,Whole Cluster,Barrel,4 weeks,Cask 100%,10,Yes,None,Spontaneous,,Yes,Yes,,Calcareous,,,50,40,Organic,,Hand-harvested,"The Clos Eugénie is in the area known as “Stein”, situated on the southern border of Mittelbergheim.  Facing full south, this terroir is dominated by limestone and is protected from the north winds by the village.  Therefore, the soil, very dry, stores the heat of the day and radiates it back to the vines at night.
EUGENIE was our great grant mother"
FEB-RIB17,France,Alsace,,Boeckel,,2017 Riesling Brandluft (ORGANIC),12.94,7.61,5.1,,,,,DIAM,900,100% Riesling,,No,Whole Cluster,Stainless Steel,4 weeks,Cask 100%,8,Yes,None,Spontaneous,,No,Yes,Brandluft,Calcareous,200,Southeast,45,50,Certified Organic,,Hand-harvested,The Brandluft Riesling has been produced and sold by the Domaine Boeckel  for over 100 years.
FEB-RIE17,France,Alsace,,Boeckel,,2017 Riesling,12.66,6.46,1.7,,,,,DIAM,1500,100% Riesling,,No,Whole Cluster,Stainless Steel,4 weeks,Cask 100%,5,Yes,Bentonite,Cultured,,No,Yes,,Calcareous,200,Southeast,30,70,Conventional,,Hand-harvested,
FEB-SVV14,France,Alsace,,Boeckel,,2014 Sylvaner Vieilles Vignes,11.98,6.46,1.7,,,,,DIAM,500,100% Sylvaner,,No,Whole Cluster,Stainless Steel,,,5,Yes,None,Spontaneous,,No,Yes,,Calcareous,200,Southeast,45,70,Conventional,,Hand-harvested,
FFV-ANC15,France,Loire,,Famille Vaillant,,"Famille Vaillant 2015 ""L'Ancrie"" (Anjou Villages)",12.95,3.7,<0.1,,,,,Natural Cork,800,Cabernet Franc 100%,,,Complete,Stainless Steel,1 month,Used Barrique 100%,12 months,No,None,Spontaneous,,Yes,No,,Volcanic,55,Southeast,25,32,Certified Bio-dynamic,Hand-harvested,Guyot Simple,"L'Ancrie est un vin naturel sans aucun intrant, non filtré et sans sulfite ajouté sa structure enrobé et ses notes de fruits noirs"
FFV-AUB17,France,Loire,,Famille Vaillant,,Famille Vaillant 2017 L'Aubinaie (Anjou),13.19,3.9,<0.1,,,,,Natural Cork,2500,Cabernet Franc 100%,,,Complete,Stainless Steel,3 days,Used Barrique 100%,6 months,No,None,Spontaneous,,Yes,No,,Sedimentary,52,Southwest,28,42,Certified Bio-dynamic,,Hand-harvested,"Aubinaie est un vin naturel sans intrant, non filtré et sans sulfite ajouté.
notes de fruits rouges et mentholé avec de la fraicheur il est gourmand"
FFV-CBR17,France,Loire,,Famille Vaillant,,Famille Vaillant 2017 Cabernet Breton,13,3.8,<0.1,,,,,,3500,Cabernet Franc 100%,,,Complete,Barrel,3 days,Used Barrique 100%,6 months,No,None,Spontaneous,,No,No,,"Gravel, Sedimentary",42,Southwest,18,42,Certified Bio-dynamic,,Hand-harvested,"Le Cabernet Breton est un vin naturel sans intrant, non filtré et sans sulfite ajouté.
notes de fruits rouges et de fenouil avec de la fraicheur il est gourmand "
FCD-CAH15,France,Cahors,,Clos d'Audhuy,,Clos d'Audhuy 2015 Cahors (Malbec),13.9,3.16,1.5,,,,,Natural Cork,300,Malbec 100%,,Both,Complete,Stainless Steel,21 days,Used barrique 100%,18,Yes,None,,None,Yes,Yes 85 mg/L,La Cote,"Silex, Limestone",150,,35,35,Organic,,Hand-harvested,
FCD-POL16,France,Cahors,,Clos d'Audhuy,,"Clos d'Audhuy 2016 ""Les Polissons"" (Cahors Malbec)",13.51,3.48,<0.5,,,,,Screw Cap,1100,100% Malbec,,Both,Complete,Stainless Steel,14 Days,Stainless Steel 100%,6,Yes,None,,None,Yes,"Yes, 49 mg/L",,"Silex, Limestone",150,,30,45,Organic,,Machine,
FVC-CFR04,France,Bordeaux,,Vray Canon Boyé,,Ch. Vray Canon Boyer 2004 Canon-Fronsac,12.42,3.16,0.3,,,,,Natural Cork,2500,"90% Merlot, 10% Cabernet Franc",,Pumpover,Complete,Concrete,15 Days,Concrete 100%,18,Yes,None,Cultured,Yes,Yes,"Yes, 23 ppm",,"Alluvial, Calcareous",30,South,30,40,Sustainable,,,
FMA-BDLNV,France,Languedoc,,Vergnes,,Vergnes N.V. Blanquette de Limoux (Mauzac),8,3.03,61,,,,,Natural Cork,,100% Mauzac,Direct Press,,Whole Cluster,Stainless Steel,,Stainless Steel,15 months on lees,Yes,,Native,"Yes, during aging and in the bottle",No,Yes,,,200-280,,20-30,45,Sustainable,,Machine,"Entire bunches pressing out with pneumatic press. Racking at low temperature (8°C). Fermentation temperature controlled (18°C). Traditional method: first fermentation in vat then bottle fermentation follows (second fermentation). Bottles will be resting for 9 months at least on laths in air-conditionated cellar. 3 months before launching, bottles disgorging is done, then we add a « liqueur d’expedition » and we finish with the cork plugging."
FMA-BLANV,France,Languedoc,,Vergnes,,Vergnes N.V. Blanquette de Limoux Ancestrale,8,3.03,61,,,,,Natural Cork,,100% Mauzac,,,Whole Cluster,Stainless Steel,,Stainless Steel,15,Yes,,Native,Yes,No,Yes,,,250-280,,35,40,Sustainable,,Hand-Harvested,"Direct pressing. Must protection by saturation of carbon dioxide. Cold settling for 24 hours. Fermentation with selected yeasts, fermentation stoppage by filtration. Bottled between December and January for natural bubbles (second fermentation). Bottles may have a slight cloudiness."
FMA-CLRNV,France,Languedoc,,Vergnes,,Vergnes N.V. Cremant de Limoux Rosé (Ch. Martinolles),12,5.75,14,,,,,Natural Cork,,"70% Chardonnay, 20% Chenin, 10% Pinot Noir",,,Whole Cluster,Stainless Steel,,,15,Yes,,"Native, Cultured",Yes,No,Yes,,,250,,20-30,45,Sustainable,,Machine,"Pressing entire clusters with pneumatic presses. Low temperature settling (8 ° C). Control of fermentation temperatures (18 ° C). Traditional method with first fermentation in vats followed by a second fermentation in the bottle (making foam). The bottles will rest a minimum of 15 months on slats in air-conditioned cellars. Then, 3 months before the marketing, we proceed to the disgorging of the bottles, addition of the “liqueur d’expédition”."
FMP-CHI15,France,Loire,,Dom. De la Croix Marie,,Domaine de la Croix Marie 2015 Chinon Vieilles Vignes,13,3.5,0,,,,,Natural Cork,,Cabernet Franc,4 weeks in tank,,Complete,Stainless Steel,10 days,Used Barrique 100%,10,Yes,None,,,Yes,"Yes, 40 mg/L",Domaine de la Croix Marie,Calcareous,50,South,50,40,Organic,,Hand-harvested,
FMP-CMR17,France,Loire,,Dom. De la Croix Marie,,Dom. de la Croix Marie 2017 Chinon Rosé,13,4.1,0,,,,,Natural Cork,1300,Cabernet Franc,Direct Press,,Complete,Stainless Steel,15 days,Stainless Steel 100%,6,Yes,None,Native,6 hours,No,"Yes, 50 mg/L",Domaine de la Croix Marie,Gravel,10,Southwest,30,45,Sustainable,,Machine,
FMP-HTR17,France,Loire,,Marc Plouzeau,,2017 Dom. des Hautes Troglodytes (Saumur Champigny),13,3.5,0,,,,,Natural Cork,1000,Cabernet Franc,4 weeks in tank,,Complete,,10 days,Stainless Steel 100%,9,Yes,None,Cultured,,Yes,"Yes, 50 mg/L",Domaine des Hautes Troglodytes / Wine made in natural limestone winery ,Calcareous,60,Southwest,40,45,Sustainable,,Machine,
FMP-BBL13,France,Loire,,Marc Plouzeau,,2013 Les Devants de la Bonnelière Touraine Sauvignon,13,5,0,,,,,,1200,Sauvignon Blanc,,,Whole Cluster,Stainless Steel ,,Stainless Steel 100%,6,Yes,None,Spontaneous,,No,"Yes, 50 mg/L",Les devants de la Bonelière / In front of the Chateau,Calcareous,50,South,35,40,Organic,,Machine,
FXF-REN11,France,Loire,,Xavier Frissant,,2011 'Renaissance' (Touraine-Amboise) ,13,3.6,<1 g/L,,,,,Natural Cork,"10,000 bottles","Côt 50%, Cabernet franc 40%, Cabernet sauvignon 10%",,,,,,Barrel ,,Yes,,,,,"Yes, 60 mg/L",,argilo siliceux,,,,50,,,,"Viticulture raisonnée, enherbement naturel, Taille gobelet."
FXF-COT14,France,Loire,,Xavier Frissant,,M' de la Touche 2014,13.5,3.6,,,,,,Natural Cork,"20,000 bottles",Côt 100%,"Cold maceration, 8 days",Punchdown,,,,Stainless Steel,,Yes,,,,,,,argilo siliceux,,,,45,,,Machine,
FXF-RDC16,France,Loire,,Xavier Frissant,,Les roses du Clos 2016,14,5.5,3,,,,,,"17,000 bottles",100% Fié gris ou sauvignon rose ou surin gris,,,,,,,,,,,,,,Parcelle du clos du verger.,Plateau argilo limono sableux.,,,,45,,"Effeuillage au levant, Vendanges en vert pour éviter l’entassement.",Hand-harvested,
FRB-DEN13,France,Rhone,,Rouge-Bleu,,Dom. Rouge-Bleu 2013 Dentelle Red,12.5,3.26,0,,,,,Screw-top,500,"60-70% Carignan, 30-40% Grenache","2 weeks in uncoated concrete tanks, with the stem, crushed.",Mild pumpover,Whole Cluster,Concrete,2 weeks,Concrete 100%,30,Yes,None,Native,,Yes,Yes 71 mg/L,Ancient Riverbed,"Alluvial, Loam",20,Northeast,50,27,Bio-dynamic,Bushvines,Hand-harvested,"VINEYARD: Situated in Sainte-Cécile-Les-Vignes, Domaine Rouge-Bleu follows biodynamic principles on all of its 8.5ha, of which half rest in the Côtes du Rhône Villages appellation. Our low yields are the natural outcome of old, deep-rooted vines that sit on a stony soil of ancient riverbed and garrigue. Coupled with the Mediterranean climate of long, hot, dry summers and the rot-inhibiting Mistral wind, our vineyard is the perfect environment for berry maturation, giving a pure expression of terroir. VINIFICATION: The hand-harvested grapes are crushed but not destemmed before being put into traditional concrete tanks for fermentation with indigenous yeast. The mature stems have been kept in order to aerate the must during fermentation, allowing us to naturally maintain a lower temperature of fermentation and bringing different nuances of tannin and acidity to the wine. Maceration of 10-14 days with pump-overs every 2 days. Matured for a minimum of 12 months in concrete tank before release. Bottled at the Domaine. Minimal sulphite addition. Screwcap has been chosen to retain the purity and freshness of this wine. TASTING NOTES: Colour: Ruby with garnet hues. Nose: Summer berries, sweet spice, cassis. Palate: Delicate aromas of blackcurrant, cherry, wild blackberry and nutmeg complimented by gentle tannins. WINE AND FOOD MATCHING: Serve at room temperature or lightly chilled."
FRB-LUN15,France,Rhone,,Rouge-Bleu,,Dom. Rouge-Bleu 2015 Lunatique ,14.97,3.78,0.2,,,,,Natural Cork,100,100% Grenache Noir,1 month in open vessel,punchdown,Whole Cluster,Oak Upright,1 month in open vessel,Used Barrique 100%,36,No,None,Native,,Yes,"Yes, 56 mg/L",Riverbed,"Calcareous, Alluvial, Loam",20,Northeast,110,8,Bio-dynamic,Bushvines,Hand-harvested,"VINEYARD: Situated in Sainte-Cécile-Les-Vignes, Domaine Rouge-Bleu follows biodynamic principles on all of its 8.5ha, of which half rest in the Côtes du Rhône Villages appellation.
Our low yields are the natural outcome of old, deep-rooted vines that sit on a stony soil of ancient riverbed and garrigue. Coupled with the Mediterranean climate of long, hot, dry summers and the rot-inhibiting Mistral wind, our vineyard is the perfect environment for berry maturation, giving a pure expression of terroir.
Lunatique is our prestige cuvee made from a parcel of Grenache planted in 1910. It is only made in exceptional years and has extended ageing potential.
VINIFICATION: The grapes are hand-harvested into small containers, then crushed but not destemmed. Wild yeast fermentation and maceration for 4 weeks in open barrels (600L demi muid). The mature stems have been kept in order to naturally aerate the must during fermentation, allowing us to bring different nuances of tannin and acidity to the wine. Malolactic fermentation and maturation in aged French oak demi-muid for 30 months. Hand bottled at the Domaine by gravity and without filtration. Minimal sulphite addition.
TASTING NOTES:
Colour: Deepest garnet.
Nose: Ripe black fruits, plum pudding and warm spices.
Palate: Full-bodied and velvety with dark berry flavours carrying on from the nose, evolving to hints of coffee and black forest gateau. Excellent balance and well-structured tannins, coupled with a pleasing freshness, give this wine great length.
WINE AND FOOD MATCHING: Serve at 17°C.
After decanting, enjoy this fine wine with wild boar ragout, braised venison, slow roasted lamb, mature cheeses or rich chocolate desserts."
FRB-MIS15,France,Rhone,,Rouge-Bleu,,Dom. Rouge-Bleu 2015 Mistral (Cotes du Rhone Villages),14.32,3.74,0,,,,,Natural Cork,700,"75% Grenache, 20% Syrah, 3% Mourvedre, 2% Roussanne",3 weeks with stem in uncoated concrete tank,pumpover,Whole Cluster,Concrete,3 weeks,"Used Barrique 50%, Concrete 50%",30,Yes,None,Native,,Yes,Yes 48 mg/L,Garrigue / Typical Provencal soil,"Calcareous, Gravel",30,North,55,18,Bio-dynamic,Bushvines except Syrah (Trelissed),Hand-harvested,"Situated in Sainte-Cécile-Les-Vignes, Domaine Rouge-Bleu follows biodynamic principles on all of its 8.5ha, of which half rest in the Côtes du Rhône Villages Sainte Cécile appellation.
Our low yields are the natural outcome of old, deep-rooted vines that sit on a stony soil of ancient riverbed and garrigue. Coupled with the Mediterranean climate of long, hot, dry summers and the rot-inhibiting Mistral wind, our vineyard is the perfect environment for berry maturation.
Mistral is our signature cuvée, a classic Southern Rhône blend of GSM showcasing the complex expression of our old vines and terroir.
VINIFICATION: The hand-harvested grapes are crushed but not destemmed before being put into traditional concrete tanks for wild yeast fermentation. The mature stems have been kept in order to aerate the must during fermentation, allowing us to naturally maintain a lower temperature of fermentation and bringing different nuances of tannin and acidity to the wine. Maceration of 17-21 days with gentle pump-overs. Matured for 24 months minimum, first in old French oak barrels then in uncoated concrete tank. Bottled at the Domaine with minimal sulphite addition.
TASTING NOTES:
Colour: Deep garnet.
Nose: Black fruits and warm spices.
Palate: Full-bodied with flavours of cherry and blackberry evolving towards roasted coffee notes. Well-structured tannins give an elegant finish.
WINE AND FOOD MATCHING: Serve at 17°C.
After decanting, enjoy with pheasant terrine, wild mushroom risotto, slow roasted joints, lamb and prune tagine, mature cheeses or chocolate desserts."
FRB-VEN14,France,Rhone,,Rouge-Bleu,,Dom. Rouge-Bleu 2014 Vendangeur (Côtes du Rhône Villages),14.6,3.83,0,,,,,Natural Cork,100,"75% Grenache, 20% Syrah, 5% Mourvedre","uncoated concrete tanks, full cluster, crushed",pumpover,Whole Cluster,Concrete,3 weeks,Used Barrique 100%,12,Yes,None,Native,,Yes,Yes 37 mg/L,Garrigue / Typical Soil of Ste Cécile,"Calcareous, Sedimentary",30,North,55,18,Bio-dynamic,"Bushvines (except for Syrah, Trelissed)",Hand-harvested,"VINEYARD: Situated in Sainte-Cécile-Les-Vignes, Domaine Rouge-Bleu follows biodynamic principles on all of its 8.5ha, of which half rest in the Côtes du Rhône Villages Sainte Cécile appellation.
Our low yields are the natural outcome of old, deep-rooted vines that sit on a stony soil of ancient riverbed and garrigue. Coupled with the Mediterranean climate of long, hot, dry summers and the rot-inhibiting Mistral wind, our vineyard is the perfect environment for berry maturation.
Vendangeur is a private bin (100 cases made), a classic Southern Rhône blend of GSM creating a modern expression of our old vines and terroir through a gentle oak integration .
VINIFICATION: The hand-harvested grapes are crushed but not destemmed before being put into traditional concrete tanks for wild yeast fermentation. The mature stems have been kept in order to aerate the must during fermentation, allowing us to naturally maintain a lower temperature of fermentation and bringing different nuances of tannin and acidity to the wine. Maceration of 17-21 days with gentle pump-overs. Matured for 12 months minimum, in 5yo French oak barrels having been used for Hermitage white ageing previous to our acquisition. Bottled at the Domaine with minimal sulphite addition.
TASTING NOTES:
Colour: Deep garnet.
Nose: Black fruits and warm spices.
Palate: Full-bodied with flavours of dark cherry, blackberry and mocca. Well-structured and roundly coated smooth tannins for an elegant finish.
WINE AND FOOD MATCHING: Serve at 17°C.
After decanting, enjoy with pheasant terrine, wild mushroom risotto, slow roasted joints, lamb and prune tagine, mature cheeses or chocolate desserts."
FPE-MCP16,France,Beaujolais,,Perrachon,,Perrachon 2016 Morgon Cote du Py,13.15,3.4,0.2,,,,,Natural Cork,550,Gamay 100%,,Daily Pumpover (one per day) the first 8 days and then punchdown,Partial,Concrete,16-18 days,"Used Barrique 90%,New Barrique 10%",12,Yes,None,Spontaneous,,Yes,Yes,"Morgon ""Côte du Py""","Granite, Volcanic",300,South,55,45,Sustainable,,Hand-harvested,"Single Vineyard, best location in Morgon appellation"
FPE-BEV17,France,Beaujolais,,Perrachon,,"Perrachon 2017 Beaujolais Villages ""Terre de Loyse""",12.5,3.45,0.2,,,,,Synthetic Cork,2000,Gamay 100%,,Daily Pumpover (one per day),Whole Cluster,Concrete,8 days,Concrete 100%,9-Jun,Yes,None,Spontaneous,,Yes,Yes,Beaujolais Villages,"Granite, Calcareous",200 and 250,South,45,55,Organic,Cover crop vineyards,Machine,3 differents terroirs (villages) where we make Beaujolais Villages and they are all blended together
FPE-JLM16,France,Beaujolais,,Perrachon,,"Perrachon 2016 Juliénas ""Les Mouilles""",13.3,3.45,0.3,,,,,Natural Cork,500,Gamay 100%,,Daily Pumpover (one per day) the first 8 days and then punchdown,Partial,Concrete,,Cask 100%,15-Dec,Yes,None,Spontaneous,,Yes,Yes,Les Mouilles,,330,South,65,40-45,Sustainable,,Hand-harvested,"Single Vineyard, best location in Juliénas appellation"
FVB-BSR15,France,Bordeaux,,Ch. Landereau,,Ch. Landereau 2015 Bordeaux Superieur Rouge,14,3.2,<2,,,,,Natural Cork,"16,000","Merlot 70%, Cabernet Franc 30%",,Pumpover,Complete,Stainless Steel,,"Used Barrique 50%, Stainless Steel 50%",12,Yes,None,Cultured,,Yes,Yes,,"Gravel, Calcareous",,South,,40,Sustainable,Guillot trained,Machine,"Wild roses and fresh, leafy aromas. The mid weight palate has a smooth and fresh core of red berry flavors. 89 James Suckling, Médaille d'OR Concours Général Agricole de Paris 2017"
FVB-CLA16,France,Bordeaux,,Ch. Landereau,,Ch. Landereau 2016 Bordeaux Clairet,13,3,<2,,,,,Natural Cork,"2,000","Cabernet Franc 60%, Merlot 40%",,,Complete,Stainless Steel,,Stainless Steel 100%,3,Yes,Bentonite,Cultured,,No,Yes,,"Gravel, Calcareous",,Southeast,,50,Sustainable,Guillot trained,Machine,Médaille de Bronze au Challenge International du Vin 2017
FVB-EDM16,France,Bordeaux,,Ch. Landereau,,Ch. Landereau 2016 Entre Deux Mers (Bordeaux),13,3.4,<2,,,,,Natural Cork,"18,000","Sauvignon Blanc 50 %, Sauvignon Gris 20 %, Sémillon 20 %, Muscadelle 10 %",,,Whole Cluster,Stainless Steel,,Stainless Steel 100%,,Yes,Bentonite,Cultured,,No,Yes,,"Calcareous, Gravel",,Southeast,,,Sustainable,Guillot trained,Machine,"Dense and fruity with sliced apple and pear character. Medium to full body and a straight forward finish
90 James Suckling, Médaille D'argent CGA 2017, Médaille OR Challenge International 2017"
KLB-ANTNV6,France,Champagne,Montagne de riems,Labruyere,,"Labruyere (2013) ""Anthologie"" Rose Grand Cru Brut [6/750]",12.5,4.25,0.5,4.8,2013,2-Apr-14,8-Jun-17,,2500 bottles,"70% Pinot Noir, 30% Chardonnay with 8% Still Red (100% Pinot Noir) from Bouzy AOC",Direct press,,,Stainless Steel,12 days,Used barrique,8 months,Yes,,Cultured,3 years,Yes,"Yes, 13 mg/L",,"Calcareous, Loam",200-250,Northeast,30,55-60,Sustainable,,,"Tete de Cuvee (First Press) Used only
10% of Wine Aged in one year old Burgundy Barrels from their Burgundy Estates
Grapes are Harvested late to reach the optimal maturity"
KLB-PBNV6,France,Champagne,Montagne de riems,Labruyere,,"Labruyere (2013) ""Page Blanche"" Blanc de Blancs Grand Cru Brut [6/750]",12.5,4.55,0.6,2.4,2013,2-Apr-14,23-Nov-17,,3000 bottles,100% Chardonnay,Direct Press,,,Stainless Steel,12 days,"Used Barrique 10%, Stainless Steel 60%",8 months,Yes,,Cultured,3 years,Yes,Yes 27 mg/L,"Sous Pisse Renard, Rochelle","Calcareous, Loam",200,North,40,50,Sustainable,,Hand-harvested,"Very small production 
Only Tete de Cuve (First Press) is used
10% Aged in one year Burgundy Barrels from their Burgundy Estates 60% in Small Stainless Steel Tanks
Grapes are harvest late to achieve optimal maturity
"
KLB-PRONV6,France,Champagne,Montagne de riems,Labruyere,,"Labruyere (2012) ""Prologue"" Grand Cru Extra Brut [6/750]",12.5,4.3,0.3,4.8,2012,24-Jul-13,19-Apr-17,,44500 bottles,"70% Pinot Noir, 30% Chardonnay",Direct Press,,Whole Cluster,,,Used Barrique,8 Months,Yes,,Cultured,4 years,Yes,Yes,,"Calcareous, Loam",200-250,Northeast,30,60,Sustainable,,,"10% Aged in one year old barrels from their burgundy estate.
Only Tete de Cuvee (First Press) used
Grapes are harvested late to achieve optimal maturity"
KLR-001,France,Champagne,auts de France (ex Picardie),Léguillette Romelot,,"Léguillette Romelot N.V. ""Prelude"" Extra Brut",12,4.2,,5.5,"2014, dont 48% de vins de réserve 2013, 2012 & 2010",Mar-15,Jun-18,,300-350 6pks,Meunier (80%) - Chardonnay (16%) - Pinot Noir (4%),,,Whole Cluster,Stainless Steel,,Stainless Steel,,Yes,Bentonite,Cultured,,Yes,Yes,,"Calcareous, Clay",50,South,40,,Conventional,,Hand-harvested,"Champagne issu de l'assemblage unique de 6 cépages champenois, dans un vignoble en cours de certification Viticulture Durable

Comments
Beautiful golden dress with fine and lively bubbles.
The nose is expressive, with notes of toasted hazelnuts and yellow fruits (apricot, mirabelle).
The wine presents a beautiful and franck mouth, with a beautiful ample fruit taste, resting on a minimalist but very accurate balance sugar-acid.
Champagne and Food Paring

Oysters
Fresh or smoked salmon toast
Vegetable and fish verrines, and salted crumble
Shrimp brochette with curry

"
KLR-FESNV,France,Champagne,auts de France (ex Picardie),Léguillette Romelot,,"Léguillette Romelot N.V. ""Festival"" Reserve Brut",12,4.75,,9,"2014, dont 47,50 % de vins de réserve 2013",Mar-15,17-Oct-18,,833 6pks,Meunier (45%) – Pinot Noir (18%) - Chardonnay (4%)   Pinot Blanc (21%) - Petit Meslier (10%) – Arbanne (2%,,,Whole Cluster,Stainless Steel,,Stainless Steel,,Yes,Bentonite,Cultured,,Yes,Yes,,"Calcareous, Clay",50,South,40,,Conventional,,Hand-harvested,"Champagne issu de l'assemblage unique de 6 cépages champenois, dans un vignoble en cours de certification Viticulture Durable Les commentaires complets réalisés par notre oenologue ne sont pas encore disponibles. Mais ce champagne peut être consommé en apéritif, avec des gougères au fromage aux zestes d'agrumes, sur des plats de viandes comme du porc aux épices (curry), des plats sucrés-salés."
KLR-NN08,France,Champagne,auts de France (ex Picardie),Léguillette Romelot,,"Léguillette Romelot 2008 ""Notes Noires"" Brut [6/750]",12,4.8,,10,2008,Mar-09,May-16,,épuisé - cuvée 2009 1500 bouteilles dispo,Meunier (73%) - Pinot Noir (27%),,,Whole Cluster,Stainless Steel,,Stainless Steel,,Yes,Bentonite,Cultured,,Yes,Yes,,"Calcareous, Clay",50,South,40,,Conventional,,Hand-harvested,"The Champagne “Notes Noires” is a cuvée of character that reveals depth and personality, a singular Champagne that you will enjoy tasting with fleshy and unsuspected dishes. CHAMPAGNE AND FOOD PAIRING Fried and honey-glazed foie gras Rib of beef with herbs Lamb tajine Fine chocolate with blueberry…"
KDE-1,France,Champagne,Vallée de la Marne ,Dehours,,"Dehours N.V. ""Grande Reserve"" Brut [6/750]",12,4.8,,4.5,"70% 2015 vintage base, 30% Perpetual Reserve wine started in 1998 ",Jul-16,disgorgement dates varies as we disgorge every month,,6600 6pks,Pinot Meunier 70% Chardonnay 20% Pinot Noir 10%,,,Whole Cluster,Stainless Steel,,"Used Barrique, Stainless Steel","18 months in bottle, on lees",No,None,Cultured,8 months in barrel / stainless steel tanks & 18 months in bottles.,Yes,Yes <30 mg/L,,"Clay, Calcareous",110-150,,35,,Sustainable,"Guyot, Chablis, Vallée de la Marne",Hand-harvested,"This is our historical and main cuvée. We use 30% of our Reserve wine, started in 1998, and refreshed every year with the new vintage by 1/3.
This is a way to maintain a consistent style, quality and volume year after year."
KDE-2,France,Champagne,Vallée de la Marne ,Dehours,,"Dehours N.V. ""Terre de Meunier"" Extra Brut [6/750]",12,4.6,,0,"2015 basis, 2014",Jul-16,Nov-17,,1000 6pks,Pinot Meunier,,,Whole Cluster,Stainless Steel ,,"Used Barrique, Stainless Steel",15 months,Nov-17,None,Cultured,"yes, during first fermentation and second fermentation",Yes,Yes <30 mg/L,,"Clay, Limestone, Sand",,,35,,Sustainable,"Guyot, Chablis, Vallée de la Marne",Hand-harvested,"This cuvee reveals the Pinot Meunier character, favorite grape variety in the Marne Valley area and iconic identity of our Vineyard."
KDE-308,France,Champagne,Vallée de la Marne ,Dehours,,Dehours 2008 Maisoncelle (Pinot Noir) Extra Brut [6/750],12,6.4,1.8,2,2008,16-Jun-09,,,268 6pks,Pinot Noir 100%,,,Whole Cluster,Barrel,,Used Barrique,8 months in barrel,No,None,Cultured,"Yes, no stirring",Yes,Yes <30 mg/L,,"Clay, Loess",130,Northeast,35,,Sustainable,"Guyot, Chablis, Vallée de la Marne",Hand-harvested,"Singular wine from a Single vineyard, single vintage, & single grape-variety.
"
KDE-309,France,Champagne,Vallée de la Marne ,Dehours,,Dehours 2009 Maisoncelle (Pinot Noir) Extra Brut [6/750],12.5,5.3,4.4,2,2009,Jun-10,Dec-16,,451 6pks,Pinot Noir 100%,,,Whole Cluster,Barrel,,Used Barrique,9 months in barrel,No,None,Cultured,Yes,Yes,Yes <30 mg/L,,"Clay, Loess",131,Northeast,,,Sustainable,"Guyot, Chablis, Vallée de la Marne",Hand-harvested,"Singular wine from a Single vineyard, single vintage, & single grape-variety."
KDE-5,France,Champagne,Vallée de la Marne ,Dehours,,Dehours NV Oeil de Perdrix Rosé Extra Brut [6/750],12,4.4,,0,2015,Jul-16,Jul-17,,500 6pks,Pinot Meunier 83% Chardonnay 17%,,,Whole Cluster,Stainless Steel,,Stainless Steel,8,No,None,Cultured,Yes,Yes,Yes <30 mg/L,,"Clay, Sand, Limestone",110-150,,35,,Sustainable,"Guyot, Chablis, Vallée de la Marne",Hand-harvested,"Oeil de Perdrix is the name given to very pale rosé wines. This blended rosé reveals the Pinot Meunier Character, favorite grape-variety in the Marne Valley area and iconic identity of our vineyard."
